match,bowlingTeam,bowlerName,overs,maiden,runs,wickets,economy,0s,4s,6s,wides,noBalls,match_id
SriLankaVsU.A.E.,U.A.E.,Aayan Afzal Khan,3,0,16,1,5.33,7,1,0,0,0,T20I # 1832
SriLankaVsU.A.E.,U.A.E.,Aryan Lakra,3,0,24,1,8.00,5,3,0,0,0,T20I # 1832
SriLankaVsU.A.E.,U.A.E.,Karthik Meiyappan,4,0,19,3,4.75,12,0,1,0,0,T20I # 1832
SriLankaVsU.A.E.,U.A.E.,Basil Hameed,1,0,13,0,13.00,1,1,1,0,0,T20I # 1832
SriLankaVsU.A.E.,Sri Lanka,Pramod Madushan,3,0,14,1,4.66,12,2,0,1,0,T20I # 1832
SriLankaVsU.A.E.,Sri Lanka,Maheesh Theekshana,3.1,0,15,2,4.73,10,2,0,0,0,T20I # 1832
SriLankaVsU.A.E.,Sri Lanka,Dushmantha Chameera,3.5,0,15,3,3.91,16,0,1,0,0,T20I # 1832
SriLankaVsU.A.E.,Sri Lanka,Chamika Karunaratne,2,0,14,0,7.00,5,2,0,0,0,T20I # 1832
SriLankaVsU.A.E.,Sri Lanka,Wanindu Hasaranga de Silva,4,1,8,3,2.00,17,0,0,0,0,T20I # 1832
SriLankaVsU.A.E.,Sri Lanka,Dasun Shanaka,1.1,0,7,1,6.00,3,0,0,1,0,T20I # 1832
ScotlandVsIreland,Ireland,Josh Little,4,0,30,1,7.50,10,2,1,1,0,T20I # 1833
ScotlandVsIreland,Ireland,Mark Adair,4,0,23,1,5.75,12,2,0,2,0,T20I # 1833
ScotlandVsIreland,Ireland,Barry McCarthy,4,0,59,0,14.75,4,6,3,1,1,T20I # 1833
ScotlandVsIreland,Ireland,Gareth Delany,3,0,28,0,9.33,3,2,1,0,0,T20I # 1833
ScotlandVsIreland,Ireland,Simi Singh,2,0,16,0,8.00,2,2,0,0,0,T20I # 1833
ScotlandVsIreland,Ireland,Curtis Campher,2,0,9,2,4.50,7,1,0,0,0,T20I # 1833
ScotlandVsIreland,Ireland,George Dockrell,1,0,9,0,9.00,1,1,0,0,0,T20I # 1833
ScotlandVsIreland,Scotland,Mark Watt,4,0,39,1,9.75,10,2,1,2,0,T20I # 1833
ScotlandVsIreland,Scotland,Brad Wheal,4,0,25,1,6.25,11,2,1,0,0,T20I # 1833
ScotlandVsIreland,Scotland,Josh Davey,4,0,46,0,11.50,5,8,0,1,0,T20I # 1833
ScotlandVsIreland,Scotland,Safyaan Sharif,3,0,32,1,10.66,3,4,0,1,0,T20I # 1833
ScotlandVsIreland,Scotland,Chris Greaves,2,0,18,0,9.00,1,0,1,1,0,T20I # 1833
ScotlandVsIreland,Scotland,Michael Leask,2,0,16,1,8.00,2,1,0,0,0,T20I # 1833
WestIndiesVsZimbabwe,Zimbabwe,Richard Ngarava,3,0,20,0,6.66,9,1,1,1,0,T20I # 1834
WestIndiesVsZimbabwe,Zimbabwe,Tendai Chatara,3,0,22,0,7.33,5,2,0,2,0,T20I # 1834
WestIndiesVsZimbabwe,Zimbabwe,Blessing Muzarabani,4,0,38,2,9.50,10,2,2,2,1,T20I # 1834
WestIndiesVsZimbabwe,Zimbabwe,Ryan Burl,3,0,27,0,9.00,5,3,1,0,0,T20I # 1834
WestIndiesVsZimbabwe,Zimbabwe,Sikandar Raza,4,0,19,3,4.75,7,0,0,0,0,T20I # 1834
WestIndiesVsZimbabwe,Zimbabwe,Sean Williams,3,0,17,1,5.66,7,1,0,0,1,T20I # 1834
WestIndiesVsZimbabwe,West Indies,Kyle Mayers,1,0,17,0,17.00,3,3,0,1,0,T20I # 1834
WestIndiesVsZimbabwe,West Indies,Akeal Hosein,4,0,25,1,6.25,12,1,1,1,1,T20I # 1834
WestIndiesVsZimbabwe,West Indies,Alzarri Joseph,4,0,16,4,4.00,16,1,1,0,0,T20I # 1834
WestIndiesVsZimbabwe,West Indies,Obed McCoy,3,0,19,1,6.33,9,3,0,0,0,T20I # 1834
WestIndiesVsZimbabwe,West Indies,Jason Holder,3.2,0,12,3,3.60,12,1,0,0,0,T20I # 1834
WestIndiesVsZimbabwe,West Indies,Odean Smith,3,0,31,1,10.33,8,4,1,1,1,T20I # 1834
SriLankaVsNetherlands,Netherlands,Fred Klaassen,4,0,34,1,8.50,9,1,2,0,0,T20I # 1835
SriLankaVsNetherlands,Netherlands,Tim Pringle,3,0,22,0,7.33,8,0,2,0,0,T20I # 1835
SriLankaVsNetherlands,Netherlands,Roelof van der Merwe,3,0,16,0,5.33,10,2,0,0,0,T20I # 1835
SriLankaVsNetherlands,Netherlands,Paul van Meekeren,4,0,25,2,6.25,11,3,0,1,0,T20I # 1835
SriLankaVsNetherlands,Netherlands,Bas de Leede,3,0,31,2,10.33,5,2,2,0,0,T20I # 1835
SriLankaVsNetherlands,Netherlands,Timm van der Gugten,3,0,31,1,10.33,3,2,1,0,0,T20I # 1835
SriLankaVsNetherlands,Sri Lanka,Dhananjaya de Silva,1,0,5,0,5.00,1,0,0,0,0,T20I # 1835
SriLankaVsNetherlands,Sri Lanka,Lahiru Kumara,4,0,28,1,7.00,14,2,1,1,0,T20I # 1835
SriLankaVsNetherlands,Sri Lanka,Binura Fernando,4,0,33,1,8.25,11,4,1,1,0,T20I # 1835
SriLankaVsNetherlands,Sri Lanka,Maheesh Theekshana,4,0,32,2,8.00,12,1,2,2,1,T20I # 1835
SriLankaVsNetherlands,Sri Lanka,Wanindu Hasaranga de Silva,4,0,28,3,7.00,11,3,0,0,0,T20I # 1835
SriLankaVsNetherlands,Sri Lanka,Chamika Karunaratne,2,0,11,0,5.50,6,1,0,1,0,T20I # 1835
SriLankaVsNetherlands,Sri Lanka,Dasun Shanaka,1,0,7,0,7.00,3,1,0,0,0,T20I # 1835
U.A.E.VsNamibia,Namibia,Ruben Trumpelmann,4,0,22,0,5.50,10,0,0,3,0,T20I # 1836
U.A.E.VsNamibia,Namibia,David Wiese,4,0,27,1,6.75,12,2,1,1,0,T20I # 1836
U.A.E.VsNamibia,Namibia,Bernard Scholtz,4,0,22,1,5.50,11,1,1,0,0,T20I # 1836
U.A.E.VsNamibia,Namibia,JJ Smit,4,0,39,0,9.75,11,2,3,0,0,T20I # 1836
U.A.E.VsNamibia,Namibia,Jan Frylinck,3,0,30,0,10.00,3,2,1,1,0,T20I # 1836
U.A.E.VsNamibia,Namibia,Ben Shikongo,1,0,8,1,8.00,1,1,0,0,0,T20I # 1836
U.A.E.VsNamibia,U.A.E.,Basil Hameed,3,0,17,2,5.66,10,2,0,0,0,T20I # 1836
U.A.E.VsNamibia,U.A.E.,Junaid Siddique,4,0,35,1,8.75,8,3,1,2,0,T20I # 1836
U.A.E.VsNamibia,U.A.E.,Zahoor Khan,4,0,20,2,5.00,15,1,0,2,2,T20I # 1836
U.A.E.VsNamibia,U.A.E.,Ahmed Raza,1,0,9,0,9.00,1,1,0,0,0,T20I # 1836
U.A.E.VsNamibia,U.A.E.,Karthik Meiyappan,4,0,34,1,8.50,8,2,2,0,0,T20I # 1836
U.A.E.VsNamibia,U.A.E.,Aayan Afzal Khan,2,0,7,0,3.50,5,0,0,0,0,T20I # 1836
U.A.E.VsNamibia,U.A.E.,Muhammad Waseem,2,0,16,1,8.00,3,0,1,0,0,T20I # 1836
WestIndiesVsIreland,Ireland,Josh Little,4,0,31,0,7.75,8,1,2,1,0,T20I # 1837
WestIndiesVsIreland,Ireland,Mark Adair,4,0,26,0,6.50,12,1,1,4,0,T20I # 1837
WestIndiesVsIreland,Ireland,Barry McCarthy,4,0,33,1,8.25,9,3,1,1,0,T20I # 1837
WestIndiesVsIreland,Ireland,Curtis Campher,2,0,28,0,14.00,2,4,1,0,0,T20I # 1837
WestIndiesVsIreland,Ireland,Simi Singh,2,0,11,1,5.50,4,1,0,0,0,T20I # 1837
WestIndiesVsIreland,Ireland,Gareth Delany,4,0,16,3,4.00,12,1,0,1,0,T20I # 1837
WestIndiesVsIreland,West Indies,Obed McCoy,3.3,0,27,0,7.71,11,2,2,0,0,T20I # 1837
WestIndiesVsIreland,West Indies,Akeal Hosein,4,0,38,1,9.50,5,2,2,0,0,T20I # 1837
WestIndiesVsIreland,West Indies,Alzarri Joseph,4,0,39,0,9.75,9,3,2,1,0,T20I # 1837
WestIndiesVsIreland,West Indies,Odean Smith,2,0,23,0,11.50,4,3,1,0,1,T20I # 1837
WestIndiesVsIreland,West Indies,Jason Holder,4,0,23,0,5.75,7,1,0,0,0,T20I # 1837
ScotlandVsZimbabwe,Zimbabwe,Tendai Chatara,4,1,14,2,3.50,14,1,0,0,0,T20I # 1838
ScotlandVsZimbabwe,Zimbabwe,Richard Ngarava,4,0,28,2,7.00,12,4,0,1,1,T20I # 1838
ScotlandVsZimbabwe,Zimbabwe,Blessing Muzarabani,4,0,34,1,8.50,9,5,0,0,2,T20I # 1838
ScotlandVsZimbabwe,Zimbabwe,Sean Williams,3,0,19,0,6.33,4,1,0,0,0,T20I # 1838
ScotlandVsZimbabwe,Zimbabwe,Sikandar Raza,4,0,20,1,5.00,10,0,0,2,0,T20I # 1838
ScotlandVsZimbabwe,Zimbabwe,Wessly Madhevere,1,0,7,0,7.00,1,0,0,0,0,T20I # 1838
ScotlandVsZimbabwe,Scotland,Brad Wheal,4,0,26,1,6.50,12,4,0,0,0,T20I # 1838
ScotlandVsZimbabwe,Scotland,Josh Davey,3,0,16,2,5.33,8,1,0,0,1,T20I # 1838
ScotlandVsZimbabwe,Scotland,Safyaan Sharif,2.3,0,23,0,9.20,4,3,0,0,1,T20I # 1838
ScotlandVsZimbabwe,Scotland,Mark Watt,4,0,19,1,4.75,9,1,0,0,0,T20I # 1838
ScotlandVsZimbabwe,Scotland,Michael Leask,4,0,36,1,9.00,4,2,1,0,0,T20I # 1838
ScotlandVsZimbabwe,Scotland,Calum MacLeod,1,0,11,0,11.00,0,0,1,0,0,T20I # 1838
NewZealandVsAustralia,Australia,Mitchell Starc,4,0,36,0,9.00,5,3,1,0,0,T20I # 1839
NewZealandVsAustralia,Australia,Josh Hazlewood,4,0,41,2,10.25,8,5,1,1,0,T20I # 1839
NewZealandVsAustralia,Australia,Pat Cummins,4,0,46,0,11.50,8,4,2,2,0,T20I # 1839
NewZealandVsAustralia,Australia,Marcus Stoinis,4,0,38,0,9.50,3,1,2,1,0,T20I # 1839
NewZealandVsAustralia,Australia,Adam Zampa,4,0,39,1,9.75,4,2,2,1,0,T20I # 1839
NewZealandVsAustralia,New Zealand,Trent Boult,4,0,24,2,6.00,13,2,1,1,0,T20I # 1839
NewZealandVsAustralia,New Zealand,Tim Southee,2.1,0,6,3,2.76,10,1,0,0,0,T20I # 1839
NewZealandVsAustralia,New Zealand,Mitchell Santner,4,0,31,3,7.75,10,2,2,0,0,T20I # 1839
NewZealandVsAustralia,New Zealand,Lockie Ferguson,3,0,20,1,6.66,9,2,1,0,0,T20I # 1839
NewZealandVsAustralia,New Zealand,Ish Sodhi,4,0,29,1,7.25,8,2,1,1,0,T20I # 1839
AfghanistanVsEngland,England,Ben Stokes,4,0,19,2,4.75,14,2,0,1,0,T20I # 1840
AfghanistanVsEngland,England,Chris Woakes,4,0,24,1,6.00,15,2,1,1,0,T20I # 1840
AfghanistanVsEngland,England,Mark Wood,4,0,23,2,5.75,14,2,1,0,0,T20I # 1840
AfghanistanVsEngland,England,Sam Curran,3.4,0,10,5,2.72,16,1,0,1,0,T20I # 1840
AfghanistanVsEngland,England,Adil Rashid,4,0,32,0,8.00,4,1,1,0,0,T20I # 1840
AfghanistanVsEngland,Afghanistan,Fazalhaq Farooqi,4,0,24,1,6.00,15,2,1,3,0,T20I # 1840
AfghanistanVsEngland,Afghanistan,Azmatullah Omarzai,1.1,0,11,0,9.42,2,1,0,3,0,T20I # 1840
AfghanistanVsEngland,Afghanistan,Mujeeb Ur Rahman,4,0,22,1,5.50,10,1,0,0,0,T20I # 1840
AfghanistanVsEngland,Afghanistan,Rashid Khan,4,0,17,1,4.25,10,0,0,0,0,T20I # 1840
AfghanistanVsEngland,Afghanistan,Fareed Ahmad,2,0,23,1,11.50,2,2,0,1,0,T20I # 1840
AfghanistanVsEngland,Afghanistan,Mohammad Nabi,3,0,16,1,5.33,6,0,0,0,0,T20I # 1840
IrelandVsSriLanka,Sri Lanka,Binura Fernando,4,0,27,1,6.75,10,3,0,1,0,T20I # 1841
IrelandVsSriLanka,Sri Lanka,Lahiru Kumara,2,0,12,1,6.00,6,2,0,0,0,T20I # 1841
IrelandVsSriLanka,Sri Lanka,Maheesh Theekshana,4,0,19,2,4.75,8,1,0,0,0,T20I # 1841
IrelandVsSriLanka,Sri Lanka,Chamika Karunaratne,4,0,29,1,7.25,7,2,1,0,0,T20I # 1841
IrelandVsSriLanka,Sri Lanka,Wanindu Hasaranga de Silva,4,0,25,2,6.25,6,0,1,0,0,T20I # 1841
IrelandVsSriLanka,Sri Lanka,Dhananjaya de Silva,2,0,13,1,6.50,3,1,0,0,0,T20I # 1841
IrelandVsSriLanka,Ireland,Josh Little,4,0,45,0,11.25,5,4,1,1,0,T20I # 1841
IrelandVsSriLanka,Ireland,Mark Adair,2,0,16,0,8.00,2,1,0,0,0,T20I # 1841
IrelandVsSriLanka,Ireland,Barry McCarthy,2,0,16,0,8.00,4,0,1,0,0,T20I # 1841
IrelandVsSriLanka,Ireland,Gareth Delany,4,0,28,1,7.00,8,3,0,2,0,T20I # 1841
IrelandVsSriLanka,Ireland,Curtis Campher,1,0,8,0,8.00,2,1,0,0,0,T20I # 1841
IrelandVsSriLanka,Ireland,Simi Singh,2,0,20,0,10.00,3,0,2,0,0,T20I # 1841
PakistanVsIndia,India,Bhuvneshwar Kumar,4,0,22,1,5.50,17,1,1,3,0,T20I # 1842
PakistanVsIndia,India,Arshdeep Singh,4,0,32,3,8.00,10,3,1,1,0,T20I # 1842
PakistanVsIndia,India,Mohammed Shami,4,0,25,1,6.25,14,4,0,1,0,T20I # 1842
PakistanVsIndia,India,Hardik Pandya,4,0,30,3,7.50,10,4,0,0,0,T20I # 1842
PakistanVsIndia,India,Ravichandran Ashwin,3,0,23,0,7.66,5,0,1,1,0,T20I # 1842
PakistanVsIndia,India,Axar Patel,1,0,21,0,21.00,2,0,3,0,0,T20I # 1842
PakistanVsIndia,Pakistan,Shaheen Shah Afridi,4,0,34,0,8.50,7,4,0,1,0,T20I # 1842
PakistanVsIndia,Pakistan,Naseem Shah,4,0,23,1,5.75,10,1,0,0,0,T20I # 1842
PakistanVsIndia,Pakistan,Haris Rauf,4,0,36,2,9.00,11,2,2,1,0,T20I # 1842
PakistanVsIndia,Pakistan,Shadab Khan,4,0,21,0,5.25,10,2,0,0,0,T20I # 1842
PakistanVsIndia,Pakistan,Mohammad Nawaz,4,0,42,2,10.50,8,0,4,2,1,T20I # 1842
BangladeshVsNetherlands,Netherlands,Fred Klaassen,4,0,33,1,8.25,10,5,0,3,0,T20I # 1843
BangladeshVsNetherlands,Netherlands,Colin Ackermann,1,0,4,0,4.00,2,0,0,0,0,T20I # 1843
BangladeshVsNetherlands,Netherlands,Paul van Meekeren,4,0,21,2,5.25,10,1,0,0,0,T20I # 1843
BangladeshVsNetherlands,Netherlands,Bas de Leede,3,0,29,2,9.66,9,3,1,3,0,T20I # 1843
BangladeshVsNetherlands,Netherlands,Tim Pringle,2,0,10,1,5.00,4,0,0,0,0,T20I # 1843
BangladeshVsNetherlands,Netherlands,Shariz Ahmad,3,0,27,1,9.00,5,1,2,0,0,T20I # 1843
BangladeshVsNetherlands,Netherlands,Logan van Beek,3,0,12,1,4.00,7,0,0,1,0,T20I # 1843
BangladeshVsNetherlands,Bangladesh,Taskin Ahmed,4,0,25,4,6.25,16,5,0,0,0,T20I # 1843
BangladeshVsNetherlands,Bangladesh,Hasan Mahmud,4,1,15,2,3.75,16,2,0,0,0,T20I # 1843
BangladeshVsNetherlands,Bangladesh,Shakib Al Hasan,4,0,32,1,8.00,6,0,2,1,0,T20I # 1843
BangladeshVsNetherlands,Bangladesh,Mustafizur Rahman,4,0,20,0,5.00,14,2,0,2,0,T20I # 1843
BangladeshVsNetherlands,Bangladesh,Soumya Sarkar,3,0,29,1,9.66,5,2,1,1,0,T20I # 1843
BangladeshVsNetherlands,Bangladesh,Mosaddek Hossain,1,0,14,0,14.00,0,0,1,0,1,T20I # 1843
ZimbabweVsSouthAfrica,South Africa,Kagiso Rabada,2,0,20,0,10.00,4,2,1,0,0,T20I # 1844
ZimbabweVsSouthAfrica,South Africa,Wayne Parnell,2,0,6,1,3.00,9,1,0,0,0,T20I # 1844
ZimbabweVsSouthAfrica,South Africa,Lungi Ngidi,2,0,20,2,10.00,6,2,1,2,0,T20I # 1844
ZimbabweVsSouthAfrica,South Africa,Keshav Maharaj,1,0,10,0,10.00,1,1,0,0,0,T20I # 1844
ZimbabweVsSouthAfrica,South Africa,Anrich Nortje,2,0,10,1,5.00,5,0,0,0,0,T20I # 1844
ZimbabweVsSouthAfrica,Zimbabwe,Tendai Chatara,1,0,23,0,23.00,0,4,1,0,0,T20I # 1844
ZimbabweVsSouthAfrica,Zimbabwe,Richard Ngarava,1,0,17,0,17.00,2,4,0,0,1,T20I # 1844
ZimbabweVsSouthAfrica,Zimbabwe,Sikandar Raza,1,0,11,0,11.00,1,0,0,0,1,T20I # 1844
SriLankaVsAustralia,Australia,Josh Hazlewood,4,0,26,1,6.50,13,3,0,3,0,T20I # 1845
SriLankaVsAustralia,Australia,Pat Cummins,4,0,36,1,9.00,12,5,1,2,0,T20I # 1845
SriLankaVsAustralia,Australia,Mitchell Starc,4,0,23,1,5.75,13,1,0,1,0,T20I # 1845
SriLankaVsAustralia,Australia,Ashton Agar,4,0,25,1,6.25,8,1,0,1,0,T20I # 1845
SriLankaVsAustralia,Australia,Marcus Stoinis,2,0,17,0,8.50,1,1,0,1,0,T20I # 1845
SriLankaVsAustralia,Australia,Mitchell Marsh,1,0,14,0,14.00,1,1,1,0,0,T20I # 1845
SriLankaVsAustralia,Australia,Glenn Maxwell,1,0,5,1,5.00,2,0,0,0,0,T20I # 1845
SriLankaVsAustralia,Sri Lanka,Binura Fernando,0.5,0,5,0,6.00,2,0,0,0,0,T20I # 1845
SriLankaVsAustralia,Sri Lanka,Dhananjaya de Silva,2.1,0,18,1,8.30,4,1,1,0,0,T20I # 1845
SriLankaVsAustralia,Sri Lanka,Lahiru Kumara,3.3,0,22,0,6.28,15,0,1,3,0,T20I # 1845
SriLankaVsAustralia,Sri Lanka,Chamika Karunaratne,3,0,20,1,6.66,6,1,0,1,0,T20I # 1845
SriLankaVsAustralia,Sri Lanka,Maheesh Theekshana,3,0,23,1,7.66,11,0,3,1,0,T20I # 1845
SriLankaVsAustralia,Sri Lanka,Wanindu Hasaranga de Silva,3,0,53,0,17.66,0,3,5,0,0,T20I # 1845
SriLankaVsAustralia,Sri Lanka,Dasun Shanaka,1,0,10,0,10.00,2,2,0,0,0,T20I # 1845
IrelandVsEngland,England,Ben Stokes,2.2,0,8,1,3.42,7,0,0,0,0,T20I # 1846
IrelandVsEngland,England,Chris Woakes,3,0,41,0,13.66,4,6,1,2,0,T20I # 1846
IrelandVsEngland,England,Mark Wood,4,0,34,3,8.50,13,4,1,2,0,T20I # 1846
IrelandVsEngland,England,Sam Curran,3,0,31,2,10.33,7,1,2,0,0,T20I # 1846
IrelandVsEngland,England,Adil Rashid,4,0,24,0,6.00,6,1,0,0,0,T20I # 1846
IrelandVsEngland,England,Liam Livingstone,3,0,17,3,5.66,5,1,0,0,0,T20I # 1846
IrelandVsEngland,Ireland,Josh Little,3,0,16,2,5.33,11,2,0,2,0,T20I # 1846
IrelandVsEngland,Ireland,Mark Adair,2,0,10,0,5.00,5,0,0,0,0,T20I # 1846
IrelandVsEngland,Ireland,Barry McCarthy,3,0,20,1,6.66,7,1,0,3,0,T20I # 1846
IrelandVsEngland,Ireland,Fionn Hand,2,0,17,1,8.50,6,1,0,4,0,T20I # 1846
IrelandVsEngland,Ireland,Gareth Delany,3.3,0,33,0,9.42,5,3,1,1,0,T20I # 1846
IrelandVsEngland,Ireland,George Dockrell,1,0,5,1,5.00,2,0,0,0,0,T20I # 1846
SouthAfricaVsBangladesh,Bangladesh,Taskin Ahmed,3,0,46,1,15.33,7,6,2,0,3,T20I # 1847
